,X,Academic_Language..Low.Frequency.,Citation,Contingency,Descriptive,Directive,Elaborative_Syntax,Emotion_Positive,Emotion_Negative,Emotion_Surprise,Expository_Devices,FirstPerson,Forceful,Future,Inquiry,Interactive,Metadiscourse,Narrative,Past,Persons,Privy,Public,Reasoning,Relations_Positive,Relations_Negative,Reporting,Strategic,Values_Positive,Values_Negative,Name,
66,2016_02_16_PC_Harlem_NY.txt,4.17,0.22,0.89,5.62,0.91,11.13,0.58,1.49,0,1.92,2.46,3.59,0.67,0.24,4.66,0.44,2.22,0.81,5.14,1.27,2.26,1.17,2.74,1.03,7.84,1.85,2.52,0.91,16vsSanders,Clinton
67,2016_02_20_PC_Nevada_Victory.txt,4.75,0.19,1.3,5.37,1.42,10.73,0.25,1.17,0,1.23,1.3,3.27,1.85,0,6.97,0.25,1.6,0.19,3.89,0.93,1.11,1.3,4.57,0.8,7.34,1.42,2.59,0.43,16vsSanders,Clinton
68,2016_02_23_PC_Closing_SC_Debate.txt,4.65,0.29,0,2.91,0,10.76,0.29,0.29,0,2.91,4.65,3.2,1.74,0,6.69,0.29,1.74,0.29,4.36,1.45,1.45,1.16,1.74,1.45,8.72,1.74,2.62,0,16vsSanders,Clinton
69,2016_02_27_PC_S_Carolina.txt,4.77,0.31,1.25,5.14,1.14,11.36,0.62,1.5,0,2.13,1.82,3.22,1.5,0.1,4.88,0.31,2.7,0.52,5.29,1.04,1.3,0.99,3.63,1.56,7.78,1.04,2.28,0.26,16vsSanders,Clinton
70,2016_03_01_PC_Super_Tues.txt,5.26,0.14,1.21,4.55,0.92,11.43,0.36,1.7,0,1.92,1.85,2.7,1.42,0.36,6.04,0.43,3.05,0.71,4.83,0.99,1.14,0.43,4.05,1.56,9.02,1.21,2.63,0.28,16vsSanders,Clinton
71,2016_03_04_PC_Manufact_Detroit.txt,6.91,0.37,0.85,5.51,0.98,10.62,0.57,1.36,0.04,1.65,1.77,3.32,0.85,0.28,4.82,0.53,2.16,0.61,3.82,0.89,2.18,1.53,2.22,1.24,8.66,1.63,2.42,0.35,16vsSanders,Clinton
72,2016_03_05_PC_Michigan_Prim.txt,5.09,0.15,0.99,5.2,1.35,10.76,0.62,1.02,0,1.46,2.12,3.04,1.35,0.29,4.65,0.48,2.63,0.55,4.13,0.99,2.09,1.06,2.78,1.57,9.88,1.28,2.38,0.33,16vsSanders,Clinton
73,2016_03_06_PC_CNN_Debate_Close.txt,4.55,0,1.65,4.96,2.07,13.22,0.83,0.41,0,0.41,6.2,2.07,2.07,0,4.13,0.83,1.65,0,3.31,1.24,0.83,2.48,1.24,2.89,5.79,2.48,2.89,0.41,16vsSanders,Clinton
74,2016_03_06_PC_CNN_Debate_Open.txt,2.6,0,0.43,6.93,0.87,9.96,0.43,0.43,0,1.73,3.9,4.76,1.73,1.3,4.76,0.43,2.16,0.43,1.73,0.43,3.9,1.3,0.87,0.87,9.09,1.3,2.6,0,16vsSanders,Clinton
75,2016_03_09_PC_Univision_Debate_Close.txt,3.37,0,0.48,2.88,0,9.62,0.48,0.96,0,1.92,3.37,3.37,3.85,0,5.77,0,0.48,0,2.4,0,2.4,0.96,4.33,4.33,4.81,1.92,2.88,0,16vsSanders,Clinton
76,2016_03_09_PC_Univision_Debate_Open.txt,7.22,1.03,0,5.15,0,12.89,2.58,0,0,2.58,4.12,0.52,1.55,0,2.06,0.52,2.58,0,1.55,0,4.64,2.06,2.58,3.09,5.67,1.03,2.58,0,16vsSanders,Clinton
77,2016_03_10_PC_K-12_NC.txt,5.48,0.14,1.03,4.21,0.71,10.33,0.57,0.96,0,1.49,3.75,3.01,0.99,0.35,5.45,0.35,2.23,1.06,4.81,0.78,2.79,1.84,2.41,1.13,6.93,1.77,1.98,0.42,16vsSanders,Clinton
78,2016_03_21_PC_AIPAC.txt,4.04,0.43,1.08,5.04,1.11,12.87,0.46,1.76,0,1.65,1.52,3.41,1.35,0.16,4.25,0.3,2.52,0.46,3.93,1.38,1.57,0.89,3.3,1.84,7.88,1.63,3.06,0.92,16vsSanders,Clinton
