,X,Academic_Language..Low.Frequency.,Citation,Contingency,Descriptive,Directive,Elaborative_Syntax,Emotion_Positive,Emotion_Negative,Emotion_Surprise,Expository_Devices,FirstPerson,Forceful,Future,Inquiry,Interactive,Metadiscourse,Narrative,Past,Persons,Privy,Public,Reasoning,Relations_Positive,Relations_Negative,Reporting,Strategic,Values_Positive,Values_Negative,Name,Type 
104,2016_09_01_GE_Am_Legion_OH_DT.txt,4.07,0.21,0.21,3.5,0.71,12.93,0.79,0.29,0.07,1.79,2.36,2.71,3.21,0.43,5.07,0.14,1.36,0.07,5.86,0.5,2.71,0.14,5.14,1,7.93,1.79,4.71,0.57,Trump,Trump
105,2016_09_01_GE_Jobs_OH_DT.txt,5.87,0.34,0.47,3.86,1.21,8.21,0.44,0.94,0,3.12,2.18,2.45,3.29,0.2,8.18,0.27,2.31,0.5,4.69,1.37,1.54,0.67,3.12,1.44,7.81,1.17,2.01,0.6,Trump,Trump
106,2016_09_03_GE_Af_Am_Church_Detroit_DT.txt,6.34,0,0,7.39,0.35,15.14,1.06,0.35,0.35,0.7,4.93,3.17,1.06,0.35,6.69,0,3.52,1.41,2.46,2.11,1.41,1.06,5.28,0.35,4.23,0,2.82,0,Trump,Trump
107,2016_09_06_GE_Stump_Greenville_NC_DT.txt,5.27,0.51,0.73,3.55,0.81,12.46,0.34,1.41,0.04,3,1.11,2.4,2.23,0.17,4.28,0.04,2.7,0.77,7.11,0.86,2.44,0.34,3.21,1.28,9.68,1.46,1.93,1.58,Trump,Trump
108,2016_09_07_GE_Union_Leag_PA_DT.txt,5.68,0.23,0.69,4.14,0.95,9.51,0.21,1.98,0,3.34,1.41,3.45,2.11,0.31,6.04,0.36,2.96,0.95,3.78,1.05,2.26,0.82,3.55,0.9,9.41,1.62,2.13,0.51,Trump,Trump
109,2016_09_08_GE_School_Choice_Cleve_OH_DT.txt,3.53,0.48,1.26,2.83,0.39,11.08,0.44,1.88,0.09,2.44,2.09,3.49,1.66,0.26,5.02,0.48,2.44,0.57,5.71,1.31,3.53,0.65,3.71,1.26,8.11,1.61,2.7,1,Trump,Trump
110,2016_09_09_GE_Pensacola_FL_DT.txt,4.76,0.24,0.71,3.98,0.82,10.07,0.54,1.4,0.14,2.65,1.7,3.23,2.52,0.17,5.14,0.44,2.69,0.61,7.08,0.88,1.97,0.48,3.54,1.19,8.85,1.43,1.74,1.22,Trump,Trump
111,2016_09_12_GE_National_Guard_MD_DT.txt,4.1,0.53,0.7,3.4,1.03,11.6,0.98,2.21,0.16,1.8,2.01,3.36,1.31,0,6.72,0.29,2.17,1.11,7.42,1.19,1.8,0.57,3.12,1.03,7.26,1.03,2.79,0.82,Trump,Trump
112,2016_09_13_GE_Stump_DesMoines_IA_DT.txt,5.07,0.51,0.79,4.05,1.15,8.41,0.53,1.83,0.02,3.11,1.96,3.3,2.4,0.18,7.11,0.22,2.11,0.51,4.21,1.04,1.61,1.17,3.17,0.79,7.67,0.97,1.65,0.68,Trump,Trump
113,2016_09_15_GE_Economic_Club_NY_DT.txt,6.86,0.3,0.85,4.67,0.9,10,0.74,1.37,0.04,4.21,1.77,3.56,2.4,0.15,5.76,0.35,2.36,0.68,3.69,1.07,1.99,0.81,2.84,0.77,8.49,1.66,1.46,0.76,Trump,Trump
114,2016_09_16_GE_Birther_Concess_DC_DT.txt,3.15,0.34,0.34,4.86,0.6,10.39,1.11,0.43,0.26,2.13,3.32,5.54,0.6,0,6.13,0.34,1.7,0.26,5.88,0.85,0.6,1.79,3.41,0.51,5.96,0.51,3.41,0.09,Trump,Trump
115,2016_09_16_GE_Deplor_2amend_FL_DT.txt,4.93,0.28,0.78,4.3,1.48,7.67,0.63,1.65,0.19,2.08,2.16,4.09,2.06,0.11,9.98,0.29,1.87,0.58,4.88,0.79,1.28,2,2.69,0.86,7.67,0.75,1.48,0.75,Trump,Trump
116,2016_09_28_GE_Polish_Am_Cong_IL_DT.txt,4.04,0.68,1.06,3.22,0.8,7.35,0.44,1.3,0.15,2.18,3.57,4.99,1.74,0.41,6.23,0.59,1.56,1.27,3.66,1.09,1.09,2.48,2.27,0.59,7.62,0.83,1.56,0.32,Trump,Trump
117,2016_09_28_GE_Stump_Waukesha_WI_DT.txt,4.75,0.28,0.97,4.62,1.44,7.35,0.27,1.27,0.06,2.76,2.32,3.45,1.97,0.28,8.52,0.42,2.26,0.66,5.33,1.17,1.3,0.96,2.13,1.03,7.55,1.24,1.22,1.03,Trump,Trump
118,2016_09_30_GE_Stump_Novi_MI_DT.txt,5.13,0.35,1.14,4.31,1.09,7.88,0.42,1.49,0,3.03,2.02,2.86,2.11,0.21,8.28,0.28,2.5,1.07,5.54,1.03,1.39,1.28,2.09,0.89,7.65,1.14,1.21,0.81,Trump,Trump
119,2016_10_03_GE_Retired_Am_Warriors_VA_DT.txt,6.49,0.13,0.72,3.27,1.16,11.41,0.4,1.61,0.04,2.6,1.66,5.37,1.21,0.58,4.97,0.27,2.37,0.85,3.09,2.01,2.51,0.63,2.91,0.85,5.91,1.66,2.55,0.98,Trump,Trump
120,2016_10_03_GE_Stump_Loveland_CO_DT.txt,5.39,0.33,0.61,5.09,1.13,9.54,0.46,1.47,0.12,2.51,3.03,3.44,1.42,0.26,6.51,0.41,2.65,1.13,5,1.43,1.57,1.04,2.13,0.94,7.41,0.85,1.19,0.91,Trump,Trump
121,2016_10_04_GE_Stump_Prescott_V_AZ_DT.txt,5.68,0.36,0.56,4.61,1.32,8.37,0.54,1.46,0.07,3.05,1.58,3.78,1.61,0.3,5.86,0.37,2.12,1.14,4.8,1.24,1.5,1.05,2.61,0.77,8.23,0.79,1,1.13,Trump,Trump
122,2016_10_05_GE_Stump_Henderson_NV_DT.txt,5.24,0.35,0.8,4.26,1.35,8.17,0.48,1.32,0.09,2.41,2.07,3.53,1.66,0.13,7.5,0.27,2.67,1.35,5.16,1.14,1.55,1.02,2.67,1.04,7.69,0.9,1.55,0.72,Trump,Trump
123,2016_10_05_GE_Stump_Reno_NV_DT.txt,4.84,0.57,0.75,4.13,1.18,8.44,0.52,1.62,0.04,2.96,1.8,3.15,1.64,0.25,7.07,0.34,2.56,0.85,4.4,1.16,1.57,1.16,2.14,0.91,8.51,1.12,1.26,0.69,Trump,Trump
124,2016_10_06_GE_TownHall_Sandown_NH_DT.txt,4.27,0.13,0.67,3.5,1.11,8.78,0.54,1.78,0.17,3.13,2.86,3.67,1.82,0.24,6.29,0.5,2.19,1.38,4.27,1.82,1.18,1.68,2.42,0.98,7.3,1.14,0.91,0.24,Trump,Trump
125,2016_10_10_GE_Ambridge_PA_DT.txt,4.87,0.35,0.67,4.24,1.07,7.22,0.54,1.61,0.04,1.92,2.65,3.44,1.9,0.32,6.96,0.49,2.26,1.26,5.74,1.5,1.12,1.32,2.06,1.3,7.26,1.19,1.04,0.55,Trump,Trump
126,2016_10_10_GE_Wilkes_Barre_PA_DT.txt,4.3,0.32,0.76,4.3,1.35,6.73,0.45,1.21,0.06,2.55,2.58,3.36,2.04,0.2,6.48,0.76,2.44,0.92,5.08,1.16,0.99,1.15,1.85,0.95,7.38,0.92,0.99,0.47,Trump,Trump
127,2016_10_12_GE_Lakeland_FL_DT.txt,5.17,0.43,0.97,4.4,1.5,7.37,0.47,1.61,0.02,2.41,2.83,3.27,1.77,0.31,7.09,0.53,2.38,1,5.3,1.05,1.04,1.16,1.85,0.77,7.39,0.92,0.89,0.64,Trump,Trump
128,2016_10_12_GE_Ocala_FL_DT.txt,5.5,0.33,0.64,4.38,1.42,7.46,0.48,1.6,0.03,2.12,2.62,3.39,1.5,0.35,7.68,0.65,2.56,1,5.01,1.51,1.19,1.28,1.62,1.24,7.19,1.1,0.93,0.66,Trump,Trump
129,2016_10_13_GE_Cincinnati_OH_DT.txt,4.52,0.27,0.73,4.37,1.36,9.02,0.45,1.63,0.05,2.11,1.8,3.19,2.11,0.36,6.99,0.29,2.61,0.87,4.19,0.91,1.33,1.16,2.49,1.02,8.44,1,1.29,0.93,Trump,Trump
130,2016_10_13_GE_Millenials_OH_DT.txt,7.21,0.45,0.78,4.03,0.67,11.69,0.62,1.23,0,2.91,1.23,2.85,1.9,0.11,4.53,0.28,2.46,0.45,5.82,1.06,3.24,0.56,2.18,1.45,7.94,1.29,2.8,1.23,Trump,Trump
131,2016_10_13_GE_Sexual_Assault_DT.txt,6.15,0.64,0.93,3.55,1.12,9.34,0.38,1.52,0.09,1.94,2.25,4.19,1.48,0.26,5.35,0.22,2.95,1.17,4.03,1.43,1.68,0.9,2.73,1.45,7.65,1.26,1.32,1.28,Trump,Trump
132,2016_10_14_GE_Charlotte_NC_DT.txt,4.89,0.32,0.82,4.24,1.52,6.92,0.43,0.99,0.14,2.1,2.87,3.5,2.03,0.42,8.73,0.43,2.33,1.03,4.1,1.17,0.85,1.94,2.08,0.89,7.37,0.93,1.02,0.49,Trump,Trump
133,2016_10_14_GE_Greensboro_NC_DT.txt,4.83,0.28,1.1,4.31,1.38,7.03,0.34,1.46,0.02,2.57,2.23,3.29,1.62,0.36,7.04,0.39,2.7,1,4.39,1.51,1.44,1.18,2.72,1.16,7.83,1.05,0.84,0.9,Trump,Trump
