"","X","Academic_Language..Low.Frequency.","Citation","Contingency","Descriptive","Directive","Elaborative_Syntax","Emotion_Positive","Emotion_Negative","Emotion_Surprise","Expository_Devices","FirstPerson","Forceful","Future","Inquiry","Interactive","Metadiscourse","Narrative","Past","Persons","Privy","Public","Reasoning","Relations_Positive","Relations_Negative","Reporting","Strategic","Values_Positive","Values_Negative","Name"
"219","2016_07_25_GE_VFW_Charlotte.txt",3.96,0.13,0.67,3.24,0.94,10.93,0.43,0.99,0,1.39,3.43,3.16,1.04,0.27,6.86,0.43,1.85,0.43,5.57,1.23,1.61,1.23,3.67,1.39,6.86,1.79,3.21,0.38,"16vsTrump"
"220","2016_07_26_GE_Kaine_Miami_FL.txt",3.63,0.36,0.97,3.26,1.57,8.59,0.36,0.91,0,2.12,2.36,2.48,0.79,0.12,4.41,0.3,3.02,0.79,6.65,0.97,2.12,1.51,3.63,0.79,9.07,1.45,2.78,0.73,"16vsTrump"
"221","2016_07_26_GE_LULAC_DC.txt",5.73,0.35,0.69,3.73,1.04,9.49,0.49,1.1,0,2,2.11,3.59,1.62,0.23,5.44,0.26,2.84,0.78,5.15,1.04,1.5,1.48,2.98,0.93,7.84,1.36,2.31,0.26,"16vsTrump"
"222","2016_07_28_GE_DNC.txt",4.65,0.37,0.84,4.38,1.22,9.55,0.62,1.35,0.02,1.72,2.4,2.48,1.15,0.11,5.74,0.45,2.38,0.68,5.63,1.39,1.46,1.57,3.76,1.12,7.23,1.43,2.4,0.26,"16vsTrump"
"223","2016_07_29_GE_Am_Manufact_Hatfield_PA.txt",6.48,0.2,1.4,4.93,0.75,10.46,0.55,0.9,0,1.54,3.04,2.99,1.74,0.2,5.93,0.15,2.19,0.8,5.33,1.2,1.3,1.54,1.44,1.05,7.92,1.35,1.54,0.15,"16vsTrump"
"224","2016_07_29_GE_Post_Convention.txt",3.36,0.29,0.69,3.71,1.04,9.32,1.1,0.41,0,2.66,3.53,3.59,1.45,0.29,4.23,0.58,2.32,1.27,4.92,1.33,1.27,1.68,3.53,0.64,7.53,1.51,0.75,0.17,"16vsTrump"
"225","2016_07_30_GE_100_Jobs_Johnstown_PA.txt",5.85,0.47,0.97,4.78,1.21,9.08,0.41,1.31,0,1.66,3.29,2.77,1.35,0.19,5.2,0.33,2.3,1.23,4.87,0.96,0.99,1.79,2.2,0.99,8.28,1.5,1.6,0.21,"16vsTrump"
"226","2016_07_30_GE_21_Century_Econo_Pitt_PA.txt",5.36,0.21,1.17,4.34,0.99,9.1,0.66,0.39,0,1.72,3.73,2.77,1.75,0.24,4.79,0.51,2.02,0.57,4.58,1.57,1.11,2.08,2.62,0.66,8.89,1.75,1.54,0.21,"16vsTrump"
"227","2016_07_30_GE_Youngstown.txt",5.29,0.21,0.77,4.47,0.79,8.44,0.29,0.5,0,1.56,2.94,2.67,2.22,0.26,7.07,0.24,2.01,0.77,5.61,0.98,1.01,1.88,2.09,0.9,8.28,1.8,1.4,0.19,"16vsTrump"
"228","2016_07_31_GE_Econ_Columbus.txt",5.19,0.08,0.77,4.22,1.08,9.06,0.5,0.89,0,1.78,2.94,2.44,1.32,0.27,5.69,0.35,1.74,0.74,6.7,1.01,1.12,1.59,2.48,1.01,8.87,1.74,2.36,0.23,"16vsTrump"
"229","2016_08_01_GE_Buffett_NE.txt",5.76,0.18,0.91,4.87,1.25,9.19,0.47,0.91,0,2.06,3.28,2.92,1.54,0.18,6.41,0.29,2.01,0.81,4.97,0.91,1.04,1.69,2.73,0.76,8.23,1.38,1.56,0.29,"16vsTrump"
"230","2016_08_03_GE_Public_Lands_CO.txt",4.96,0.16,1.12,5.12,0.82,9.2,0.33,0.49,0,1.18,3.55,3.32,1.44,0.23,6.11,0.43,2,0.49,4.5,1.15,1.08,2.07,1.84,0.72,8.51,1.35,1.51,0.39,"16vsTrump"
"231","2016_08_04_GE_Jobs_NV.txt",5.9,0.12,0.94,4.75,1.06,10.56,0.36,0.64,0,2.63,3.06,2.36,1.24,0.15,5.05,0.48,2.42,0.91,5.51,0.76,1.12,1.63,2.51,0.51,7.45,1.57,1.54,0.12,"16vsTrump"
"232","2016_08_05_GE_NABJ_NAHJ.txt",5.7,0.43,0.86,4.07,0.67,10.39,0.77,1.01,0,2.63,2.44,2.44,1.44,0.24,4.89,0.24,3.5,0.77,4.5,0.96,1.15,1.68,3.02,0.91,6.8,1.58,2.59,0.48,"16vsTrump"
"233","2016_08_08_GE_Small_Bus_FL.txt",5.89,0.22,1.49,5.45,0.99,9.86,0.5,0.22,0,2.04,2.53,3.8,0.88,0.33,3.52,0.44,3.03,1.21,3.85,1.71,0.72,2.53,1.87,0.61,6.55,2.04,1.38,0.28,"16vsTrump"
"234","2016_08_10_GE_Jobs_Plan_IA.txt",5.92,0.17,1.21,4.13,0.79,10.09,0.54,0.33,0,1.63,3.08,2.46,2.08,0.25,4.71,0.33,1.79,0.88,3.79,1.88,1.29,1.96,2.96,0.67,7.75,1.63,1.42,0.46,"16vsTrump"
"235","2016_08_11_GE_Economic_MI.txt",6.76,0.46,1.1,4.73,1.4,11.34,0.67,0.92,0,2.55,2.12,2.69,1.22,0.17,4.23,0.4,2.3,0.78,4,0.92,1.92,1.59,2.12,0.92,8.16,1.68,2.33,0.38,"16vsTrump"
"236","2016_08_15_GE_Biden_Scranton_PA.txt",5.31,0.29,0.84,4.21,1.45,9.81,0.64,0.77,0.03,2.51,1.96,2.73,1,0.19,4.82,0.35,2.38,0.96,7.27,1.25,1.58,1.58,2.35,0.93,6.66,1.83,1.8,0.32,"16vsTrump"
"237","2016_08_16_GE_Voter_Reg_Phila_PA.txt",4.67,0.06,1.23,4.01,0.9,10.17,0.45,0.96,0.03,2.09,3.92,2.78,1.14,0.24,5.53,0.54,2.3,0.72,5.56,1.08,0.99,1.67,2.81,0.69,7.75,1.82,2.18,0.18,"16vsTrump"
"238","2016_08_17_GE_Jobs_Cleveland_OH.txt",5.97,0.32,0.98,3.82,1.08,9.24,0.45,0.83,0,2.25,3.7,2.89,1.53,0.3,4.74,0.25,2.42,0.76,5.06,0.87,1.47,1.98,1.95,0.53,6.71,1.89,2.02,0.32,"16vsTrump"
"239","2016_08_25_GE_Trump_Racist_NV.txt",5.5,0.46,0.56,4.97,1.21,10.28,0.58,1.41,0.02,1.58,1.87,3.15,0.65,0.27,5.11,0.58,2.5,0.97,7.25,1.55,1.91,0.99,1.38,1.48,7.88,1.24,1.53,0.8,"16vsTrump"
"240","2016_08_31_GE_Am_Legion_OH.txt",4.56,0.28,0.82,4.34,0.87,10,0.43,1.41,0,1.13,2.82,3.54,1.13,0.28,5.44,0.41,2.36,0.63,5.25,0.98,1.69,1.21,3.99,1.26,7.53,1.56,2.75,0.43,"16vsTrump"
"241","2016_09_05_GE_Labor_Festival_OH.txt",5.4,0.4,1.28,4.12,1.06,9.27,0.55,0.95,0,1.86,2.74,2.99,1.28,0.26,8.39,0.22,2.33,0.51,5.62,1.13,0.73,1.39,3.25,1.24,6.75,1.57,2.37,0.44,"16vsTrump"
"242","2016_09_05_GE_Salute_Labor_IL.txt",4.6,0.6,1.07,4.16,1.38,8.63,0.55,0.6,0,1.77,3.12,3.02,1.17,0.23,5.7,0.55,2.26,1.12,5.49,1.14,1.17,1.56,3.15,0.96,7.72,1.43,2.08,0.36,"16vsTrump"
"243","2016_09_08_GE_Baptist_Conv_KC.txt",4.3,0.45,0.96,4.8,0.98,12.23,0.84,1.29,0,1.79,2.58,3.06,0.96,0.14,4.27,0.38,2.15,0.74,5.83,1.22,1.58,1.15,2.98,0.64,7.07,1.29,2.87,0.5,"16vsTrump"
"244","2016_09_08_GE_Press_Conf_FP_NY.txt",2.36,0.9,0.22,3.37,1.46,9.09,0.22,2.47,0.22,1.35,2.58,2.92,1.23,0.45,4.04,0.56,2.81,1.57,7.52,1.35,1.23,1.01,3.14,0.67,6.17,2.13,2.24,0.45,"16vsTrump"
"245","2016_09_08_GE_Voter_Drive_Charlotte_NC.txt",4.87,0.41,0.71,4.74,1.32,8.39,0.35,1.09,0.03,1.88,2.48,2.94,1.12,0.23,6.06,0.53,2.74,1.39,5.22,1.34,1.47,1.32,2.46,0.94,7.51,1.39,1.62,0.41,"16vsTrump"
"246","2016_09_09_GE_Deplorables_NY.txt",3.88,0.65,1.1,4.33,1.36,9.76,0.58,1.87,0,2.26,2.39,3.81,1.42,0.13,4.78,0.58,1.87,0.39,4.72,2,1.03,1.03,3.43,1.1,7.24,1.16,1.49,0.71,"16vsTrump"
"247","2016_09_15_GE_Latino_Caucus_Birther_DC.txt",4.27,0.26,0.63,4.73,1.46,10.09,0.79,1.09,0,2.25,2.38,3.21,1.32,0.2,4.5,0.43,3.08,0.76,6.25,1.39,1.32,1.22,2.48,1.32,7.97,1.16,2.22,0.26,"16vsTrump"
"248","2016_09_15_GE_Press_Conf_Return_NC.txt",2.96,0,1.23,5.17,2.22,9.85,0.74,2.46,0,0.74,2.96,4.68,1.97,0.74,5.67,0,1.72,0.25,4.93,2.46,0.99,1.72,3.45,0.74,6.9,1.48,1.97,0.74,"16vsTrump"
"249","2016_09_16_GE_Black_Women_Sym_DC.txt",4.04,0.25,0.8,4.99,1.06,10.38,0.58,0.98,0,1.57,3.02,2.33,1.57,0.33,5.06,0.15,2.8,0.76,6.52,0.8,1.53,1.09,3.28,1.13,6.92,1.27,2.77,0.36,"16vsTrump"
"250","2016_09_16_GE_Families_Greensboro_NC.txt",4.61,0.03,1.03,4.91,1.57,9.35,0.5,1.1,0,1.94,3.27,3.07,1.2,0.37,6.11,0.37,2.4,0.5,5.51,1.37,1.17,1.3,2.57,1.13,6.24,1.03,1.4,0.27,"16vsTrump"
"251","2016_09_17_GE_Cong_Black_Caucus_DC.txt",4.11,0.27,0.91,3.65,1.55,10.04,0.46,1,0,2.19,2.37,2.65,1,0.27,5.29,0.82,3.01,0.82,6.66,1.09,1.73,1.09,3.56,0.82,6.48,1.09,2.55,0.46,"16vsTrump"
"252","2016_09_19_GE_Impact_Women_Phil_PA.txt",4.03,0.21,0.95,4.84,1.3,10.23,0.51,1.34,0,1.76,3.36,3.03,0.79,0.42,5.35,0.58,2.8,0.95,5.02,1.41,1.5,1.04,2.41,1.27,7.17,1.6,2.41,0.39,"16vsTrump"
"253","2016_09_21_GE_Disability_Orlando.txt",4.76,0.27,1.13,3.47,1.07,10.37,0.53,1.78,0.02,1.89,2.51,3.34,0.65,0.31,5.29,0.42,3,1.22,5.85,1.31,0.98,1.29,3.54,0.71,6.83,1.02,2.47,0.24,"16vsTrump"
"254","2016_09_28_GE_Clinton_Sanders_NH.txt",5.61,0.58,1.41,3.37,0.98,9.73,0.6,0.58,0.03,2.13,3.66,3.43,1.27,0.66,5.87,0.46,2.45,0.6,4.46,1.27,1.15,1.81,2.59,0.72,6.42,1.64,2.22,0.14,"16vsTrump"
"255","2016_09_30_GE_Natl_Service_FL.txt",4.77,0.15,1.08,3.46,1.11,9.9,0.7,0.62,0.03,2.17,2.42,3.59,0.7,0.39,6.01,0.44,2.24,0.52,4.87,1.52,1.44,1.52,3.2,0.72,7.66,1.5,2.61,0.1,"16vsTrump"
"256","2016_10_02_GE_Crim_Justice_NC.txt",3.84,0.32,0.72,4.96,1.31,10.24,0.54,2.3,0,1.13,2.03,3.25,0.72,0.23,6.23,0.77,2.48,0.99,5.19,1.17,1.13,0.77,3.16,0.72,6.99,1.08,2.21,0.81,"16vsTrump"
"257","2016_10_11_GE_Gore_FL.txt",5.79,0.27,0.95,7.4,0.86,10.17,0.3,1.25,0,1.91,1.56,3.87,0.78,0.34,5.01,0.45,2.58,0.81,3.86,1.09,0.89,1.47,2.33,0.75,8.96,1.34,1.48,0.19,"16vsTrump"
"258","2016_10_11_GE_Ohio_State_Columbus_OH.txt",5.1,0.33,1.37,3.77,1.17,9.54,0.72,0.72,0,1.48,3.11,2.89,1.39,0.3,5.34,0.54,2.11,1.15,4.11,1.13,1.66,1.96,2.15,0.98,7.14,1.42,1.63,0.26,"16vsTrump"
"259","2016_10_19_GE_Closing_Debate_NV.txt",4.59,0,1.02,2.04,0,9.69,0.51,0,0,2.04,4.59,3.06,2.04,0,9.18,0,1.02,0,4.08,0.51,3.06,1.53,1.53,0,5.61,3.06,5.1,0,"16vsTrump"
"260","2016_10_20_GE_Al_Smith_Dinner_NY.txt",3.32,0.46,0.95,4.16,1.03,9.17,1.15,0.92,0,2.06,3.63,3.21,1.49,0.19,4.89,0.53,2.48,0.84,6.91,1.64,1.3,1.72,1.3,1.57,7.49,0.8,1.87,0.11,"16vsTrump"
"261","2016_10_27_GE_M_Obama_Appear_NC.txt",4.03,0.07,0.77,3.82,1.09,10.44,0.53,0.67,0.11,1.33,2.59,4.2,0.84,0.25,5.68,0.35,2.8,0.77,7.04,1.3,1.33,1.89,3.12,0.98,7.15,1.09,2.28,0.18,"16vsTrump"
"262","2016_10_28_GE_Cedar_Rapids_IA.txt",4.82,0.58,0.67,4,0.87,9.78,0.67,0.92,0.07,2.32,3.1,2.84,1.16,0.22,5.56,0.25,2.03,0.8,5.65,1.3,1.21,1.83,1.97,1.21,7.64,1.52,1.92,0.25,"16vsTrump"
"263","2016_10_28_GE_Des_Moines_IA.txt",4.08,0.36,0.74,3.65,1.25,9.47,0.85,0.85,0.04,2.25,2.93,2.46,1.15,0.25,8.37,0.45,2.44,0.74,5.94,1.15,1.38,1.97,1.85,1.19,7.11,1.25,1.42,0.36,"16vsTrump"
"264","2016_10_28_GE_Press_Conf_Emails_IA.txt",3.82,1.91,1.27,1.91,0.64,7.64,1.27,0,0,1.27,1.91,3.18,1.27,1.27,7.01,0,4.46,0,3.82,3.82,2.55,1.91,3.18,3.18,6.37,2.55,1.27,0,"16vsTrump"
"265","2016_10_29_GE_Jenn_Lopez_Miami_FL.txt",3.05,0,0.54,5.57,1.62,9.87,1.26,0.9,0.18,1.97,1.97,2.69,1.08,0,7.9,0.54,3.23,0.72,3.95,0.54,0.36,2.15,3.77,0.54,6.28,1.62,1.26,0.18,"16vsTrump"
"266","2016_10_31_GE_Cincinnati_OH.txt",3.73,0.28,0.94,4.87,1.25,8.86,0.68,1.4,0,1.48,2.85,3.25,1.05,0.6,7.12,0.28,2.42,0.46,5.44,1.51,0.8,1.82,2.14,1.51,7.07,1.28,1.57,0.48,"16vsTrump"
